ID,Time,Steps,Total Reward,Episode Length,coins,flag_get,life,score,stage,status,time,world,x_pos
big_mess,192.43134117126465,6634,183.30000000000007,31,0,False,256,0,1,small,393,1,296
big_mess,53.918174266815186,1847,739.7999999999904,648,0,False,256,500,1,small,388,1,510
big_mess,57.3713960647583,1966,258.2,40,0,False,256,0,1,small,392,1,512
big_mess,60.986786127090454,2092,258.2,40,0,False,256,0,1,small,392,1,512
big_mess,64.80029106140137,2220,258.2,40,0,False,256,0,1,small,392,1,512
big_mess,68.90460324287415,2351,258.2,40,0,False,256,0,1,small,392,1,512
big_mess,72.04830527305603,2443,197.20000000000007,33,0,False,256,0,1,small,392,1,512
big_mess,73.76083612442017,2491,75.70000000000002,18,0,False,256,0,1,small,397,1,176
big_mess,75.49677515029907,2547,75.70000000000002,18,0,False,256,0,1,small,397,1,176
big_mess,77.54306817054749,2607,75.70000000000002,18,0,False,256,0,1,small,397,1,176
