ID,Time,Steps,FPS,Total Reward,Episode Length
determined_shaw,19225.70952439308,3955189,205.72395494594147,21636.700000000055,214
determined_shaw,19259.67836546898,3961433,205.68531440808087,21632.800000000054,212
determined_shaw,19293.815655708313,3967719,205.64719134890777,21636.800000000054,213
determined_shaw,19327.873346328735,3973964,205.60792844572532,21646.700000000055,214
determined_shaw,19362.377709388733,3980336,205.57062049615695,21648.50000000006,217
determined_shaw,19396.569691181183,3986680,205.5353118346786,21646.600000000057,215
determined_shaw,19431.017245531082,3993212,205.50709978492733,21655.50000000006,217
determined_shaw,19465.652759313583,3999646,205.4719689832297,21649.50000000006,216
determined_shaw,19501.237785339355,4006406,205.44367717068383,21636.900000000067,224
determined_shaw,19535.896543979645,4012722,205.402500518288,21658.50000000006,216
determined_shaw,19569.755393505096,4018911,205.3633742061904,21635.800000000054,213
determined_shaw,19604.449182748795,4025296,205.32563615927117,21657.40000000006,217
determined_shaw,19700.146110534668,4043261,205.2401529061687,22708.00000000059,673
determined_shaw,19734.772875785828,4049555,205.19896659001955,21638.50000000006,216
determined_shaw,19830.681738376617,4067263,205.0995045787546,22708.00000000059,673
determined_shaw,19863.9888985157,4073352,205.06213635189724,21644.00000000005,209
determined_shaw,19900.7428047657,4080201,205.02757309254304,22308.00000000008,234
determined_shaw,19934.413721561432,4086618,205.00316974859604,21639.00000000005,210
determined_shaw,19968.437799692154,4092921,204.96951444359354,21657.800000000054,212
determined_shaw,20003.49184155464,4099439,204.93616976831768,22258.30000000006,219
determined_shaw,20037.634296178818,4105932,204.91101590685295,21643.700000000055,213
determined_shaw,20072.2313683033,4112398,204.8799620003394,22247.30000000006,219
determined_shaw,20106.774312019348,4118810,204.8468807618671,21655.40000000006,217
determined_shaw,20141.96820950508,4125192,204.8058043331289,21670.30000000006,219
determined_shaw,20176.56201863289,4131593,204.77190297259304,21658.50000000006,217
determined_shaw,20212.126955270767,4138152,204.73609774753982,21631.900000000067,223
determined_shaw,20247.770248651505,4144902,204.70905927412176,21631.900000000067,223
determined_shaw,20285.736184358597,4151976,204.67465229097274,22799.500000000087,241
determined_shaw,20321.34095263481,4158870,204.65529364885597,21920.700000000055,222
determined_shaw,20357.00899195671,4165800,204.6371351334548,21931.600000000057,223
determined_shaw,20396.016444206238,4173271,204.61206292003524,22333.700000000084,247
determined_shaw,20431.867233514786,4179985,204.58164455686605,21953.40000000006,225
determined_shaw,20467.25524353981,4186771,204.55947562003914,21927.600000000057,222
determined_shaw,20503.008657455444,4193770,204.54412667260092,21920.700000000055,222
determined_shaw,20539.36977005005,4200824,204.52545754960445,21951.200000000063,228
determined_shaw,20574.999307870865,4207474,204.49449047565466,21927.40000000006,225
